id,restaurant_name,menu_item,Calories,Carbs,Protein,Fat,restaurant_id
52,Qdoba Mexican Eats,Citrus Lime Chicken Salad,540,40,36,24,0
53,Qdoba Mexican Eats,Create Your Own 3 Tacos,190,22,10,7,0
54,Qdoba Mexican Eats,Create Your Own Taco,200,20,12,10,0
55,Qdoba Mexican Eats,Street Style Pulled Pork Tacos,345,30,20,15,0
56,Qdoba Mexican Eats,Street Style Chicken Tacos,515,40,36,22,0
57,Qdoba Mexican Eats,Quesadilla Kids Meal,435,50,20,18,0
58,Qdoba Mexican Eats,2 Taco Kit Kids Meal,430,53,20,16,0
59,Qdoba Mexican Eats,3-Cheese Nachos Kids Meal,430,50,20,18,0
60,Qdoba Mexican Eats,3-Cheese Queso & Chips,890,80,15,57,0
61,Qdoba Mexican Eats,Hand-Crafted Guacamole & Chips,820,85,10,50,0
62,Qdoba Mexican Eats,Side of Salsa,20,5,1,0,0
63,Qdoba Mexican Eats,Queso Diablo & Chips,910,102,18,49,0
64,Qdoba Mexican Eats,Side of Guacamole,120,8,2,10,0
65,Qdoba Mexican Eats,Side of 3-Cheese Queso,135,5,5,10,0
66,Qdoba Mexican Eats,Side of Cilantro Lime Rice,190,43,3,1,0
67,Qdoba Mexican Eats,Salsa & Chips,630,80,8,30,0
68,Qdoba Mexican Eats,Side of Queso Diablo,135,3,5,11,0
69,Qdoba Mexican Eats,Side of Brown Rice,170,35,4,1,0
70,Qdoba Mexican Eats,Side of Black Beans,140,24,8,1,0
71,Qdoba Mexican Eats,IT's BACK! Cup of Tortilla Soup,120,15,5,5,0
72,Qdoba Mexican Eats,Diet Coke® 20 oz Bottle Beverage,0,0,0,0,0
73,Qdoba Mexican Eats,Coca-Cola® 20 oz Bottle Beverage,240,65,0,0,0
74,Qdoba Mexican Eats,Jarritos Lime,170,42,0,0,0
75,Qdoba Mexican Eats,Jarritos Pineapple,140,36,0,0,0
76,Qdoba Mexican Eats,Jarritos Mandarin,140,36,0,0,0
77,Qdoba Mexican Eats,DASANI® Bottle Water,0,0,0,0,0
78,Qdoba Mexican Eats,Gold Peak Peach,180,48,0,0,0
79,Qdoba Mexican Eats,Gold Peak Black Unsweetened,0,0,0,0,0
80,Qdoba Mexican Eats,Chocolate Chunk Cookie,280,38,4,14,0
81,Qdoba Mexican Eats,Chocolate Brownie,360,51,4,16,0
82,Subway,Oven-Roasted Turkey,280,46,18,3.5,1
83,Subway,Roast Beef,230,14,25,8,1
84,Subway,Steak & Cheese,380,48,26,10,1
85,Subway,Grilled Chicken,220,12,20,10,1
86,Subway,Buffalo Chicken,420,44,25,14,1
87,Subway,#99 Grand Slam Ham,600,46,35,32,1
88,Subway,#15 Titan Turkey,820,92,58,24,1
89,Subway,#17 Garlic Roast Beef,600,45,40,25,1
90,Subway,#30 The Beast,1030,92,58,47,1
91,Subway,#1 The Philly,760,80,42,34,1
92,Subway,#33 Teriyaki Blitz,540,60,32,20,1
93,Subway,#2 The Outlaw®,600,65,35,25,1
94,Subway,#3 The Monster™,1200,90,60,70,1
95,Subway,#23 The Hotshot Italiano,820,92,35,35,1
96,Subway,#18 The Ultimate B.M.T.®,600,46,35,29,1
97,Subway,#4 Supreme Meats,600,45,35,30,1
98,Subway,#6 The Boss,860,87,36,42,1
99,Subway,#16 All-Pro Sweet Onion Teriyaki,740,92,52,18,1
100,Subway,#20 Elite Chicken & Bacon Ranch,850,46,58,48,1
101,Subway,#8 The Great Garlic,860,85,45,40,1
102,Subway,#7 The MexiCali,860,92,45,37,1
103,Subway,#19 Pickleball Club™,600,65,35,22,1
104,Subway,#10 All-American Club®,510,42,34,24,1
105,Subway,#11 Subway Club®,510,46,39,20,1
106,Subway,#12 Turkey Cali Club™,540,49,34,25,1
107,Subway,Black Forest Ham,290,46,18,4,1
108,Subway,Buffalo Chicken,420,44,25,14,1
109,Subway,B.L.T.,380,37,18,18,1
110,Subway,Cold Cut Combo®,340,46,18,10,1
111,Subway,Grilled Chicken,350,41,23,6,1
112,Subway,Italian B.M.T.®,410,39,20,20,1
113,Subway,Meatball Marinara,480,59,20,18,1
114,Subway,Oven-Roasted Turkey,280,46,18,3.5,1
115,Subway,Oven-Roasted Turkey & Ham,280,46,18,4,1
116,Subway,Roast Beef,320,45,25,5,1
117,Subway,Rotisserie-Style Chicken,247,38,23,5,1
118,Subway,Spicy Italian,480,46,20,24,1
119,Subway,Steak & Cheese,380,48,26,10,1
120,Subway,Sweet Onion Chicken Teriyaki,740,115,36,9,1
121,Subway,Tuna,480,44,20,24,1
122,Subway,Veggie Delite®,200,39,8,2,1
123,Subway,Veggie Patty,390,53,23,9,1
124,Subway,Black Forest Ham,190,12,19,6,1
125,Subway,Buffalo Chicken,430,44,25,18,1
126,Subway,B.L.T.,350,25,18,21,1
127,Subway,Cold Cut Combo®,380,13,24,25,1
128,Subway,Grilled Chicken,210,8,29,7,1
129,Subway,Italian B.M.T.®,410,40,24,18,1
130,Subway,Meatball Marinara,460,36,25,24,1
131,Subway,Oven Roasted Turkey,330,12,32,10,1
132,Subway,Oven Roasted Turkey & Ham,280,46,18,4,1
133,Subway,Roast Beef,230,7,25,11,1
134,Subway,Rotisserie-Style Chicken,247,5,23,7,1
135,Subway,Spicy Italian,520,15,25,40,1
136,Subway,Steak & Cheese,380,15,25,17,1
137,Subway,Sweet Onion Chicken Teriyaki,370,52,25,4,1
138,Subway,Tuna,480,7,44,32,1
139,Subway,Veggie Patty,390,53,23,9,1
140,Subway,Black Forest Ham,580,54,28,24,1
141,Subway,Buffalo Chicken,430,44,34,16,1
142,Subway,B.L.T.,380,37,18,18,1
143,Subway,Cold Cut Combo®,340,46,18,8,1
144,Subway,Grilled Chicken,380,40,23,10,1
145,Subway,Italian B.M.T. ®,820,78,35,40,1
146,Subway,Meatball Marinara,820,80,36,41,1
147,Subway,Oven Roasted Turkey,330,43,25,8,1
148,Subway,Oven Roasted Turkey & Ham,380,46,28,10,1
149,Subway,Roast Beef,320,40,25,8,1
150,Subway,Rotisserie-Style Chicken,350,40,25,10,1
151,Subway,Spicy Italian,820,80,35,40,1
152,Subway,Steak & Cheese,520,50,28,20,1
153,Subway,Sweet Onion Chicken Teriyaki,740,92,37,22,1
154,Subway,Tuna,820,67,39,41,1
155,Subway,Veggie Delite®,230,44,8,2,1
156,Subway,Veggie Patty,390,53,23,9,1
157,Subway,"Bacon, Egg & Cheese",450,44,19,21,1
158,Subway,"Bacon, Egg & Cheese Wrap",500,48,28,24,1
159,Subway,"Black Forest Ham, Egg & Cheese",400,45,21,16,1
160,Subway,"Black Forest Ham, Egg & Cheese Wrap",490,49,30,21,1
161,Subway,Egg & Cheese,410,45,19,18,1
162,Subway,Egg & Cheese Wrap,430,44,19,21,1
163,Subway,"Steak, Egg & Cheese",450,48,28,17,1
164,Subway,"Steak, Egg & Cheese Wrap",740,55,42,40,1
165,Subway,Black Forest Ham,110,12,12,3,1
166,Subway,Buffalo Chicken,430,44,25,17,1
167,Subway,B.L.T.,380,44,18,16,1
168,Subway,Cold Cut Combo®,360,13,19,23,1
169,Subway,Grilled Chicken,220,12,20,10,1
170,Subway,Italian B.M.T. ®,230,11,19,13,1
171,Subway,Meatball Marinara,330,25,20,18,1
172,Subway,Oven Roasted Turkey,110,8,12,2,1
173,Subway,Oven Roasted Turkey & Ham,280,46,18,4,1
174,Subway,Roast Beef,140,11,19,3,1
175,Subway,Rotisserie-Style Chicken,350,45,25,7,1
176,Subway,Spicy Italian,300,11,20,20,1
177,Subway,Steak & Cheese,210,15,20,8,1
178,Subway,Sweet Onion Chicken Teriyaki,269,40,19,4,1
179,Subway,Tuna,480,44,20,24,1
180,Subway,Veggie Delite®,50,11,3,1,1
181,Subway,Veggie Patty,390,53,23,9,1
182,Subway,1% Low Fat Milk,100,12,8,2,1
183,Subway,Coca-Cola® Classic,200,54,0,0,1
184,Subway,Dasani® Water,0,0,0,0,1
185,Subway,Honest Kids® Super Fruit Punch,40,10,0,0,1
186,Subway,Simply Orange®,160,38,2,0,1
187,Subway,Sprite®,200,54,0,0,1
188,Subway,vitamin water® XXX,120,31,0,0,1
189,Subway,Gatorade® Cool Blue,140,36,0,0,1
190,Subway,GoGo squeeZ® Apple Apple,70,17,0,0,1
191,Subway,Chocolate Chip,200,30,2,10,1
192,Subway,Oatmeal Raisin,200,30,3,8,1
193,Subway,Raspberry Cheesecake,200,30,2,10,1
194,Subway,White Chip Macadamia Nut,220,30,2,11,1
195,Subway,Baked Lay's® Original,140,25,2,3,1
196,Subway,DORITOS® Nacho Cheese,150,18,2,8,1
197,Subway,SunChips® Harvest Cheddar®,140,19,2,6,1
198,Subway,LAY’S® Classic,160,15,2,10,1
199,Subway,Miss Vickie’s® Jalapeño,200,23,2,11,1
200,Subway,Double Chocolate,210,30,2,10,1
201,Subway,6 Pack Cookie Box,1344,198,18,60,1
202,Subway,12 Pack Cookie Box,2200,330,24,96,1
203,Cracker Barrel Old Country Store,Chicken Fried Chicken,1350,95,65,82,2
204,Cracker Barrel Old Country Store,Grandpa's Country Fried Breakfast,1340,95,57,87,2
205,Cracker Barrel Old Country Store,Homestyle Chicken,1200,85,60,70,2
206,Cracker Barrel Old Country Store,Momma's Pancake Breakfast®,800,97,28,34,2
207,Cracker Barrel Old Country Store,Hand-Breaded Fried Chicken Tenders,1200,100,50,70,2
208,Cracker Barrel Old Country Store,Southern Fried Chicken,1200,85,75,70,2
209,Cracker Barrel Old Country Store,Build Your Own Homestyle Breakfast,800,95,35,35,2
210,Cracker Barrel Old Country Store,Chicken n' Dumplins,450,35,28,22,2
211,Cracker Barrel Old Country Store,Biscuit Beignets,790,102,8,41,2
212,Cracker Barrel Old Country Store,Momma's French Toast Breakfast®,830,95,28,39,2
213,Cracker Barrel Old Country Store,Grilled Chicken Tenders,300,8,40,14,2
214,Cracker Barrel Old Country Store,Homestyle Chicken n' French Toast,1200,160,45,40,2
215,Cracker Barrel Old Country Store,Stuffed Cheesecake Pancake Breakfast,1200,158,28,52,2
216,Cracker Barrel Old Country Store,Peach Cobbler,487,83,4,16,2
217,Cracker Barrel Old Country Store,Country Vegetable Plate,500,75,15,15,2
218,Cracker Barrel Old Country Store,Country Fried Pickles,800,85,8,50,2
219,Cracker Barrel Old Country Store,Macaroni n' Cheese,270,31,9,10,2
220,Cracker Barrel Old Country Store,Egg Sandwich,450,40,20,23,2
221,Cracker Barrel Old Country Store,Grandma's Sampler Pancake Breakfast,1100,115,45,54,2
222,Cracker Barrel Old Country Store,Chicken Pot Pie,940,70,39,58,2
223,Cracker Barrel Old Country Store,Chicken Fried Chicken,940,60,40,60,2
224,Cracker Barrel Old Country Store,Momma's Pancake Breakfast®,800,115,28,28,2
225,Cracker Barrel Old Country Store,Biscuit Beignets,587,77,7,28,2
226,Cracker Barrel Old Country Store,Grandpa's Country Fried Breakfast,1340,98,65,82,2
227,Cracker Barrel Old Country Store,Build Your Own Homestyle Breakfast,800,95,35,35,2
228,Cracker Barrel Old Country Store,Grandpa's Country Fried Breakfast,1350,98,51,87,2
229,Cracker Barrel Old Country Store,Momma's Pancake Breakfast®,800,95,28,36,2
230,Cracker Barrel Old Country Store,Build Your Own Homestyle Breakfast,800,95,35,35,2
231,Cracker Barrel Old Country Store,Momma's French Toast Breakfast®,800,97,28,34,2
232,Cracker Barrel Old Country Store,Old Timer's Breakfast,900,95,35,45,2
233,Cracker Barrel Old Country Store,Homestyle Chicken n' French Toast,1200,145,50,45,2
234,Cracker Barrel Old Country Store,The Cracker Barrel's Country Boy Breakfast,1050,95,65,45,2
235,Cracker Barrel Old Country Store,Stuffed Cheesecake Pancake Breakfast,1100,135,28,48,2
236,Cracker Barrel Old Country Store,Biscuit Benny,800,60,30,50,2
237,Cracker Barrel Old Country Store,Thick-Sliced Bacon,183,0,12,15,2
238,Cracker Barrel Old Country Store,Pancake Tacos,800,85,30,39,2
239,Cracker Barrel Old Country Store,Grandma's Sampler French Toast Breakfast,1100,115,50,55,2
240,Cracker Barrel Old Country Store,Two Buttermilk Pancakes,320,45,8,12,2
241,Cracker Barrel Old Country Store,Coarse Ground Grits,150,32,3,1,2
242,Cracker Barrel Old Country Store,Grandma's Sampler Pancake Breakfast,1100,115,50,55,2
243,Cracker Barrel Old Country Store,Biscuits n' Gravy with Bacon or Sausage,1280,97,36,84,2
244,Cracker Barrel Old Country Store,Sawmill Gravy,180,17,9,9,2
245,Cracker Barrel Old Country Store,Egg Sandwich,450,40,19,22,2
246,Cracker Barrel Old Country Store,Bacon n’ Egg Hashbrown Casserole,800,60,25,50,2
247,Cracker Barrel Old Country Store,Biscuit Breakfast,800,95,28,35,2
248,Cracker Barrel Old Country Store,Steak n' Egg Hashbrown Casserole,1050,72,65,63,2
249,Cracker Barrel Old Country Store,Smoked Sausage Patties,310,2,14,28,2
250,Cracker Barrel Old Country Store,Spicy Chicken Sausage,140,1,18,7,2
251,Cracker Barrel Old Country Store,Impossible Sausage,280,9,19,20,2
252,Cracker Barrel Old Country Store,Country Ham,120,1,20,5,2
253,Cracker Barrel Old Country Store,Homestyle Chicken,800,60,50,40,2
254,Cracker Barrel Old Country Store,Chicken Fried Chicken,1350,131,63,72,2
255,Cracker Barrel Old Country Store,Southern Fried Chicken,1500,120,75,85,2
256,Cracker Barrel Old Country Store,Chicken n' Dumplins,450,37,28,22,2
257,Cracker Barrel Old Country Store,Country Vegetable Plate,400,60,12,12,2
258,Cracker Barrel Old Country Store,Dumplins,210,31,6,7,2
259,Cracker Barrel Old Country Store,Buttermilk Biscuits (4),720,92,12,34,2
260,Cracker Barrel Old Country Store,Grilled Chicken Tenders,300,8,40,14,2
261,Cracker Barrel Old Country Store,Chicken Pot Pie,940,54,33,60,2
262,Cracker Barrel Old Country Store,Macaroni n' Cheese,270,31,9,12,2
263,Cracker Barrel Old Country Store,Classics Sampler,1100,97,65,51,2
264,Cracker Barrel Old Country Store,Roast Beef,800,40,60,40,2
265,Cracker Barrel Old Country Store,Meatloaf,800,60,40,40,2
266,Cracker Barrel Old Country Store,Bacon Mac n’ Cheese,600,47,20,35,2
267,Cracker Barrel Old Country Store,Hand-Breaded Fried Chicken Tenders,800,95,50,30,2
268,Cracker Barrel Old Country Store,Hashbrown Casserole,320,30,7,19,2
269,Cracker Barrel Old Country Store,Biscuit Beignets,650,97,6,26,2
270,Cracker Barrel Old Country Store,Hamburger Steak**,940,60,52,58,2
271,Cracker Barrel Old Country Store,Country Fried Steak,1340,93,36,85,2
272,Cracker Barrel Old Country Store,Barrel Bite Duo,500,50,8,28,2
273,Cracker Barrel Old Country Store,Broccoli Cheese Casserole,200,18,8,11,2
274,Cracker Barrel Old Country Store,White Cheddar Cheese Bites,450,32,15,29,2
275,Cracker Barrel Old Country Store,Country Fried Pickles,450,65,5,20,2
276,Cracker Barrel Old Country Store,Cornbread Muffins (4),620,94,12,22,2
277,Cracker Barrel Old Country Store,Skillet Sirloin Steak Sampler*,850,45,60,45,2
278,Cracker Barrel Old Country Store,Fried Okra,250,30,4,14,2
279,Cracker Barrel Old Country Store,U.S. Farm-Raised Grilled Catfish - 2 Pieces,350,10,35,18,2
280,Cracker Barrel Old Country Store,U.S. Farm-Raised Fried Catfish - 2 Pieces,940,95,35,48,2
281,Cracker Barrel Old Country Store,Loaded Hashbrown Casserole,450,30,19,29,2
282,Cracker Barrel Old Country Store,U.S. Farm-Raised Grilled Catfish - 1 Piece,350,15,35,18,2
283,Cracker Barrel Old Country Store,Cole Slaw,200,14,1,15,2
284,Cracker Barrel Old Country Store,Fried Apples,170,43,0,4,2
285,Cracker Barrel Old Country Store,Vegetable Soup Bowl,70,14,4,0,2
286,Cracker Barrel Old Country Store,Lemon Pepper Grilled Rainbow Trout,330,8,46,14,2
287,Cracker Barrel Old Country Store,"Tips, Tenders n' Shrimp Platter",1200,100,75,55,2
288,Cracker Barrel Old Country Store,U.S. Farm-Raised Fried Catfish - 1 Piece,350,15,23,22,2
289,Cracker Barrel Old Country Store,Mashed Potatoes with Brown Gravy,174,24,4,7,2
290,Cracker Barrel Old Country Store,Pinto Beans,140,21,9,1,2
291,Cracker Barrel Old Country Store,Steak Fries,365,47,5,18,2
292,Cracker Barrel Old Country Store,Buffalo Buttermilk Ranch Mac n' Cheese,1200,100,40,70,2
293,Cracker Barrel Old Country Store,Loaded Mashed Potatoes,350,35,9,20,2
294,Cracker Barrel Old Country Store,Sugar Cured Ham,800,60,35,45,2
295,Cracker Barrel Old Country Store,Broccoli,40,8,2,0,2
296,Cracker Barrel Old Country Store,Country Ham,900,80,65,35,2
297,Cracker Barrel Old Country Store,Country Fried Shrimp,1200,100,50,70,2
298,Cracker Barrel Old Country Store,Loaded Baked Sweet Potato,450,80,5,14,2
299,Cracker Barrel Old Country Store,Turnip Greens,100,6,4,7,2
300,Cracker Barrel Old Country Store,Beans n' Greens,370,52,20,9,2
301,Cracker Barrel Old Country Store,Loaded Baked Potato,380,47,12,17,2
302,Cracker Barrel Old Country Store,Buttermilk Biscuits (6),900,102,18,48,2
303,Cracker Barrel Old Country Store,Bowl of Turnip Greens,100,16,4,2,2
304,Cracker Barrel Old Country Store,Loaded Hashbrown Casserole Tots,490,45,15,29,2
305,Cracker Barrel Old Country Store,Vegetable Soup Cup,90,16,4,1,2
306,Cracker Barrel Old Country Store,Fresh Fruit,120,30,2,0,2
307,Cracker Barrel Old Country Store,Loaded Steak Fries,1280,97,28,87,2
308,Cracker Barrel Old Country Store,Grilled Sirloin Steak*,760,40,69,41,2
309,Cracker Barrel Old Country Store,Smoky Southern Grilled Chicken,550,40,65,20,2
310,Cracker Barrel Old Country Store,Buttermilk Biscuits (12),2130,276,36,96,2
311,Cracker Barrel Old Country Store,Hashbrown Casserole Tots,320,34,3,18,2
312,Cracker Barrel Old Country Store,Bowl of Pinto Beans,200,36,12,3,2
313,Cracker Barrel Old Country Store,Mashed Potatoes,210,35,4,6,2
314,Cracker Barrel Old Country Store,Mashed Potatoes with Sawmill Gravy,370,35,4,24,2
315,Cracker Barrel Old Country Store,Carrots,80,14,1,2,2
316,Cracker Barrel Old Country Store,Corn,180,31,5,5,2
317,Cracker Barrel Old Country Store,Green Beans,60,8,2,2,2
318,Cracker Barrel Old Country Store,Maple Bacon Grilled Chicken,1200,75,80,60,2
319,Cracker Barrel Old Country Store,Dumplins,450,65,12,15,2
320,Cracker Barrel Old Country Store,Broccoli Cheese Casserole,200,18,9,11,2
321,Cracker Barrel Old Country Store,Homestyle Chocolate Chip Cookies,1600,220,20,80,2
322,Cracker Barrel Old Country Store,Mashed Potatoes,210,35,4,6,2
323,Cracker Barrel Old Country Store,Macaroni n' Cheese,270,31,9,12,2
324,Cracker Barrel Old Country Store,Southern Half n' Half (Half Gallon),800,200,0,0,2
325,Cracker Barrel Old Country Store,Fried Apples,184,31,0,7,2
326,Cracker Barrel Old Country Store,Loaded Mashed Potatoes,350,35,10,20,2
327,Cracker Barrel Old Country Store,Southern Fried Chicken Family Meal,4800,400,240,280,2
328,Cracker Barrel Old Country Store,Hashbrown Casserole Tots,250,20,3,18,2
329,Cracker Barrel Old Country Store,Fried Okra,310,38,4,16,2
330,Cracker Barrel Old Country Store,Corn Muffins,1600,250,30,60,2
331,Cracker Barrel Old Country Store,Sirloin Steak Tips n' Tenders Family Meal,1200,100,80,60,2
332,Cracker Barrel Old Country Store,Loaded Hashbrown Casserole,480,38,21,28,2
333,Cracker Barrel Old Country Store,Homestyle Chicken n' French Toast Family Meal,1280,130,60,55,2
334,Cracker Barrel Old Country Store,All-Day Pancake Breakfast Family Meal,1280,158,36,56,2
335,Cracker Barrel Old Country Store,Freshly Brewed Sweet Iced Tea (Half Gallon),400,100,0,0,2
336,Cracker Barrel Old Country Store,Hashbrown Casserole,320,30,7,19,2
337,Cracker Barrel Old Country Store,Buttermilk Biscuits,1600,200,40,80,2
338,Cracker Barrel Old Country Store,Bacon Mac n' Cheese,600,47,22,36,2
339,Cracker Barrel Old Country Store,Carrots,90,14,1,4,2
340,Cracker Barrel Old Country Store,Broccoli,40,8,3,0,2
341,Cracker Barrel Old Country Store,Scratch-Made Meatloaf Family Meal,1200,100,60,60,2
342,Cracker Barrel Old Country Store,Peach Tea (Half Gallon),440,112,0,0,2
343,Cracker Barrel Old Country Store,Green Beans,60,8,2,2,2
344,Cracker Barrel Old Country Store,Cole Slaw,200,14,1,15,2
345,Cracker Barrel Old Country Store,Corn,180,31,5,5,2
346,Cracker Barrel Old Country Store,Country Fried Pickles,440,45,3,28,2
347,Cracker Barrel Old Country Store,Freshly Brewed Unsweetened Iced Tea (Half Gallon),0,0,0,0,2
348,Cracker Barrel Old Country Store,Lemonade (Half Gallon),440,114,0,0,2
349,Cracker Barrel Old Country Store,100% Pure Florida Orange Juice (Half Gallon),800,184,10,0,2
350,Cracker Barrel Old Country Store,Freshly Brewed Premium Coffee (96 oz.),5,0,1,0,2
351,Cracker Barrel Old Country Store,Double Chocolate Fudge Coca-Cola® Cake,790,131,9,29,2
352,Cracker Barrel Old Country Store,Fresh Fruit,120,30,2,0,2
353,Cracker Barrel Old Country Store,Signature Chicken n' Dumplins Family Meal,1280,97,36,73,2
354,Cracker Barrel Old Country Store,Grilled Chicken Tenderloins Family Meal,1200,100,120,40,2
355,Cracker Barrel Old Country Store,Meatloaf n' Tenders Family Meal,2100,150,150,110,2
356,Cracker Barrel Old Country Store,Homestyle Chicken Family Meal,1200,100,70,60,2
357,Cracker Barrel Old Country Store,Mashed Potatoes w/Brown Gravy,210,35,4,6,2
358,Cracker Barrel Old Country Store,Mashed Potatoes w/Sawmill Gravy,174,24,4,7,2
359,Cracker Barrel Old Country Store,Peach Cobbler,487,83,4,15,2
360,Cracker Barrel Old Country Store,Biscuits and Corn Muffins,160,23,3,6,2
361,Cracker Barrel Old Country Store,Freshly Brewed Premium Decaf Coffee (96 oz.),5,0,0,0,2
362,Cracker Barrel Old Country Store,Biscuit Beignets,800,97,10,40,2
363,Cracker Barrel Old Country Store,Loaded Hashbrown Casserole Tots,800,63,15,55,2
364,Cracker Barrel Old Country Store,White Cheddar Cheese Bites,690,56,28,40,2
365,Cracker Barrel Old Country Store,Merry Berry Tea (Half Gallon),160,41,0,0,2
366,Cracker Barrel Old Country Store,Homestyle Fried Chicken BLT,800,65,34,45,2
367,Cracker Barrel Old Country Store,The Barrel Cheeseburger*,940,62,46,58,2
368,Cracker Barrel Old Country Store,Homestyle Grilled Chicken BLT,800,65,50,35,2
369,Cracker Barrel Old Country Store,Homestyle Grilled Chicken Salad,620,25,50,36,2
370,Cracker Barrel Old Country Store,House Salad,400,20,15,30,2
371,Cracker Barrel Old Country Store,Homestyle Fried Chicken Salad,740,45,50,43,2
372,Cracker Barrel Old Country Store,Lil' Barrel Cheeseburgers,430,30,20,26,2
373,Cracker Barrel Old Country Store,Chicken Tenders,840,54,51,45,2
374,Cracker Barrel Old Country Store,Mini Confetti Pancakes,600,75,15,25,2
375,Cracker Barrel Old Country Store,Mmmm Mac n’ Cheese,600,70,20,25,2
376,Cracker Barrel Old Country Store,Veggie Plate,450,58,11,20,2
377,Cracker Barrel Old Country Store,Biscuit Breakfast Sandwich,650,45,22,41,2
378,Cracker Barrel Old Country Store,Grilled Cheese Sandwich,620,51,22,36,2
379,Cracker Barrel Old Country Store,Crispy Rockin' Shrimp,800,70,25,45,2
380,Cracker Barrel Old Country Store,Scrambled Egg n’ Biscuit,450,38,13,27,2
381,Cracker Barrel Old Country Store,Peach Cobbler,411,60,4,18,2
382,Cracker Barrel Old Country Store,Double Chocolate Fudge Coca-Cola® Cake,790,131,9,29,2
